1,0.01,0,0,0,0,0,0,-0.0004905000000000001,-1.635e-06,0,0,-4.057527408537079e-11,4.057527408537079e-11,-4.057527408537079e-11,4.057527408537079e-11
0,1,0,0,0,0,0,0,-0.09810000000000001,-0.0004905000000000001,0,0,-1.589163095061321e-08,1.589163095061321e-08,-1.589163095061321e-08,1.589163095061321e-08
0,0,1,0.01,0,0,0.0004905000000000001,1.635e-06,0,0,0,0,4.057527408537079e-11,4.057527408537079e-11,-4.057527408537079e-11,-4.057527408537079e-11
0,0,0,1,0,0,0.09810000000000001,0.0004905000000000001,0,0,0,0,1.589163095061321e-08,1.589163095061321e-08,-1.589163095061321e-08,-1.589163095061321e-08
0,0,0,0,1,0.01,0,0,0,0,0,0,-3.555801184840882e-08,-3.555801184840882e-08,-3.555801184840882e-08,-3.555801184840882e-08
0,0,0,0,0,1,0,0,0,0,0,0,-6.624928969548629e-06,-6.624928969548629e-06,-6.624928969548629e-06,-6.624928969548629e-06
0,0,0,0,0,0,1,0.01,0,0,0,0,4.69218445521343e-07,4.69218445521343e-07,-4.69218445521343e-07,-4.69218445521343e-07
0,0,0,0,0,0,0,1,0,0,0,0,8.742161642876062e-05,8.742161642876062e-05,-8.742161642876062e-05,-8.742161642876062e-05
0,0,0,0,0,0,0,0,1,0.01,0,0,4.69218445521343e-07,-4.69218445521343e-07,4.69218445521343e-07,-4.69218445521343e-07
0,0,0,0,0,0,0,0,0,1,0,0,8.742161642876062e-05,-8.742161642876062e-05,8.742161642876062e-05,-8.742161642876062e-05
0,0,0,0,0,0,0,0,0,0,1,0.01,1.290619895253161e-08,-1.290619895253161e-08,-1.290619895253161e-08,1.290619895253161e-08
0,0,0,0,0,0,0,0,0,0,0,1,2.404595951311913e-06,-2.404595951311913e-06,-2.404595951311913e-06,2.404595951311913e-06
0,0,0,0,0,0,0,0,0,0,0,0,0.6426210983825759,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6426210983825759,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6426210983825759,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6426210983825759
